station_uuid,latitude,longitude
00060988-0064-4444-8888-acdc00000064,51.05523682,8.788582802
00060989-0543-4444-8888-acdc00000543,52.65328979,10.4637785
00060995-0006-4444-8888-acdc00000006,49.45140839,11.85389042
00061000-0001-4444-8888-acdc00000001,48.12059021,9.072270393
00061002-0548-4444-8888-acdc00000548,52.83396149,10.48641109
00061055-0003-4444-8888-acdc00000003,48.38097382,11.35349941
00061069-0027-4444-8888-acdc00000027,47.57033157,7.801720142
00061077-ae56-4444-8888-acdc00000001,49.41576385,11.1595192
00061092-0556-4444-8888-acdc00000556,53.2705574,10.6294117
00061120-0001-4444-8888-acdc00000001,52.31831741,7.435825825
00061135-0549-4444-8888-acdc00000549,52.72614288,10.59626961
00061147-055c-4444-8888-acdc00000001,52.1564,8.15647
00061156-0001-4444-8888-acdc00000001,52.40333557,7.550505161
00061175-0004-4444-8888-acdc00000004,50.366993,8.380335
00061176-0001-4444-8888-acdc00000001,48.51839066,11.46084023
00061178-0555-4444-8888-acdc00000555,53.28544998,10.7391901
00061195-0001-4444-8888-acdc00000001,48.72286987,11.16839981
00061230-4894-4444-8888-acdc00000007,50.00524139,12.07689953
00061250-0001-4444-8888-acdc00000001,48.18899918,7.765520096
00061262-0002-4444-8888-acdc00000002,51.34400177,8.407640457
00061264-0009-4444-8888-acdc00000009,49.80575562,12.18745041
00061270-533e-75a1-87f9-8a9f00061270,51.36437988,8.173551559
00061277-0011-4444-8888-acdc00000011,50.58935,9.832749
00061284-8d1e-4444-8888-acdc00000001,53.50795746,8.800335884
00061287-0001-4444-8888-acdc00000001,51.05698013,7.767748833
00061306-0003-4444-8888-acdcffffffff,50.19000626,11.80708122
00061307-0001-4444-8888-acdc00000001,47.76805878,12.89196968
00061310-0001-4444-8888-acdc00000001,50.0538826,8.976264
00061314-0031-4444-8888-acdc00000031,47.71466064,7.655690193
00061333-0001-4444-8888-acdc00000001,49.18084717,11.18379498
00061342-0008-4444-8888-acdc00000008,49.69828033,12.15960979
00061360-0010-4444-8888-acdc00000010,49.4940567,11.77502155
00061361-0002-4444-8888-acdcffffffff,48.87236786,8.802087784
00061365-0010-4444-8888-acdc00000010,50.39808,9.63918
00061379-0013-4444-8888-acdc00000013,50.55008,9.686299
00061383-0006-4444-8888-acdc00000006,48.77573013,11.38842964
00061384-0005-4444-8888-acdc00000005,48.55057144,11.26088047
00061393-0001-4444-8888-acdc00000001,51.30599213,8.403879166
00061394-0003-4444-8888-acdc00000003,51.37090683,8.337447166
00061404-f33c-4444-8888-acdc00000001,48.34205246,10.88701916
00061407-0004-4444-8888-acdc00000004,48.05617905,12.23633003
00061409-0001-4444-8888-acdc00000001,51.65039825,10.34212017
00061410-0002-4444-8888-acdc00000002,51.64479446,10.31682491
00061419-0561-4444-8888-acdc00000561,52.8600502,11.97367001
00061429-b40c-4444-8888-acdc00000010,48.2690506,12.17096043
00061477-0001-4444-8888-acdc00000001,52.90223312,9.618676186
00061487-0551-4444-8888-acdc00000551,53.22961044,10.51865959
