"id","latitude","longitude"
"node/41829585",51.9503614,8.2777387
"node/41829591",51.9091312,8.3872415
"node/41829819",51.8807295,8.5090287
"node/41829902",51.8580903,8.5674561
"node/41926249",52.4332341,8.6239261
"node/42137342",51.4479883,11.9508026
"node/43502740",50.7349252,8.2945961
"node/45037315",51.6597263,6.4453715
"node/45173930",51.559948,6.5568504
"node/45672352",49.8406369,9.1542184
"node/46733428",48.073583,8.6317581
"node/47127841",52.293254,14.0649619
"node/48172337",52.2794663,9.5725715
"node/48927002",50.4375889,12.7289003
"node/49109521",51.7509458,6.9483979
"node/52144713",53.5462334,9.9711435
"node/52686024",52.4136185,10.523316
"node/53139421",53.6099521,9.9011942
"node/57821469",52.3796851,9.3890908
"node/58822410",47.9959377,11.3438675
"node/58833375",48.0707134,11.3761886
"node/59282120",52.66865,13.2870408
"node/59640885",54.0750292,12.3766833
"node/59719386",52.5262465,13.7604458
"node/59781221",50.4260015,7.5468561
"node/59909090",51.8974718,12.2173582
"node/59929182",49.9294023,8.3126916
"node/59930888",49.8719462,8.3429015
"node/59968330",49.7053203,8.3260437
"node/59974553",54.0768375,12.0475371
"node/60049754",50.9518357,6.6457923
"node/60117316",48.4913209,9.3964125
"node/60459785",49.5261774,8.4825676
"node/60463394",53.7723504,11.7146716
"node/60621698",50.0554626,7.7699825
"node/60635328",48.0246099,12.5555573
"node/60825042",51.0506561,9.2768089
"node/60868203",50.2832996,8.9442243
"node/61090390",50.5325539,7.0784245
"node/61102276",52.1479787,14.6583612
"node/63203876",50.2828535,6.6383612
"node/63203931",50.344744,6.5809393
"node/66795510",49.4775595,8.4341483
"node/67030637",50.8626144,13.0232008
"node/68655296",48.1179001,11.6084037
"node/69263212",47.6682024,7.6486309
"node/71255696",47.967998,7.9592049
"node/73778052",48.1125954,11.5875077
"node/73783822",48.1294285,11.5741025
"node/73793044",48.1130998,11.5716454
"node/73800960",48.1044305,11.5813957
"node/73800962",48.0970601,11.5791773
"node/74880878",50.9409887,6.9751312
"node/75212086",48.9915057,11.37816
"node/75353374",48.8224381,9.9131756
"node/75360611",48.8010804,9.7879738
"node/75655504",48.964715,8.3387483
"node/76474606",52.4895529,13.3501694
"node/78336757",50.1798171,8.5170592
"node/82614216",49.1032382,8.0033719
"node/82641646",49.909649,8.5797158
"node/82975880",52.1952696,9.8148582
"node/84322745",48.16279,11.5291128
"node/84322749",48.1540479,11.5330186
"node/84322751",48.1499883,11.5456047
"node/84322752",48.147896,11.5569774
"node/84766819",49.3495669,8.1403886
"node/86983773",53.1491192,12.9855428
"node/87003069",48.0819223,12.0914646
"node/88945566",53.0969197,9.1337373
"node/89777864",53.7622878,13.7984274
"node/90044697",53.503774,10.484957
"node/90045486",53.378098,10.7541756
"node/90124531",51.4931771,7.8700197
"node/90124720",51.4054067,8.0675274
"node/90306490",48.4095348,9.4902708
"node/90492258",48.5457504,9.8271987
"node/90545284",51.4626576,11.6681651
"node/90603790",49.9421179,8.4498641
"node/91552412",51.0141036,13.6712908
"node/91753264",53.144191,8.2231132
"node/94566955",52.3189555,10.2306793
"node/94571531",49.5488786,8.6649605
"node/94861402",50.7918022,7.8363148
"node/95040128",50.5130353,10.4293656
"node/96479882",49.4922947,10.6591202
"node/96586806",49.4968259,10.8011193
"node/99191054",48.1149039,11.5804329
"node/99707277",53.2021623,7.8867806
"node/99707282",53.1824842,8.0037716
"node/99951106",47.7935805,9.8817723
"node/99994278",53.334718,11.4945852
"node/99994397",53.3649145,11.0829878
"node/99996343",47.7577837,9.2972671
"node/100020289",47.5923515,8.1320364
"node/100085065",51.6678336,12.3542629
"node/100085314",51.8428247,12.6350748
"node/102871249",50.2627593,10.9575111
"node/104020562",50.8510981,13.7824845
"node/104021775",50.9612486,13.8555714
"node/106037688",50.8238303,8.9224026
"node/106045537",50.8250128,9.0155689
"node/106049718",50.8504742,9.1208071
"node/106100162",51.2096344,9.4494354
"node/107606908",52.5883733,13.3259254
"node/108112922",49.991701,8.4138251
"node/117367378",49.0456919,8.2731506
"node/117372662",49.1979317,8.1261523
"node/117552968",49.3278137,7.3365309
"node/117567970",49.4019889,7.4916013
"node/119530308",48.1739944,12.8283355
"node/121914457",51.0083876,12.0127449
"node/122174126",52.4597761,8.3613083
"node/122174200",52.7074019,8.5101934
"node/124383778",48.8515173,8.9861966
"node/124393602",51.4476491,9.420087
"node/124411794",48.8464695,8.9337905
"node/129730678",52.4892983,13.4076671
"node/130071462",49.2617946,11.2126676
"node/131670795",50.565262,8.5039213
"node/133462173",48.6577926,9.4163321
"node/134330087",51.4552602,13.8701069
"node/135902199",48.1541764,7.7493469
"node/136054004",49.1514232,8.9842593
"node/136054220",49.136869,9.0147874
"node/136054394",49.1383736,9.0566524
"node/136054428",49.1406267,9.06939
"node/136054488",49.1459904,9.1059566
"node/139251880",53.5335264,13.5005972
"node/139253237",53.5638586,13.3663556
"node/140372254",50.6845372,8.3080615
"node/141307127",49.8320201,8.7439982
"node/142280007",50.2888756,9.1025156
"node/148594038",49.9790298,8.5654439
"node/148954098",53.1836829,8.4753993
"node/149285759",48.6764343,9.2177498
"node/150539377",51.4113473,13.439312
"node/150637480",49.7139369,8.4766797
"node/151005815",50.0013534,8.580857
"node/154488204",51.5184186,13.4028276
"node/157062861",50.8926307,14.6655986
"node/158777681",51.6794431,13.2028483
"node/162056714",52.3328283,9.1893212
"node/173947543",50.8981269,12.3549492
"node/174045577",52.5093677,9.1099414
"node/174817813",52.4929715,13.3706891
"node/175662599",51.8339529,10.7802611
"node/175905094",51.8401896,10.7888637
"node/175933625",49.2784778,12.3257177
"node/185643003",48.1387963,9.2140453
